title,link
성공적인 발표를 위한 PPT 작성법 및 발표 준비,http://academic.naver.com/article.naver?doc_id=965420293
원격 발표 준비를 위한 스마트폰 기반 비동기 피드백 공유 인터페이스,http://academic.naver.com/article.naver?doc_id=928132740
원격 발표 준비를 위한 스마트폰 기반 비동기 피드백 공유 인터페이스,http://academic.naver.com/article.naver?doc_id=879446974
원격 발표 준비를 위한 스마트폰 기반 비동기 피드백 공유 인터페이스,http://academic.naver.com/article.naver?doc_id=879446974
발표준비 안내,http://academic.naver.com/article.naver?doc_id=878408348
발표준비 안내,http://academic.naver.com/article.naver?doc_id=928994382
2016 춘계학술발표대회 준비위원회 조직 외,http://academic.naver.com/article.naver?doc_id=928456518
2016 춘계학술발표대회 준비위원회 조직 외,http://academic.naver.com/article.naver?doc_id=880822066
2005년도 춘계학술발표대회 준비위원,http://academic.naver.com/article.naver?doc_id=878622087
2005년도 춘계학술발표대회 준비위원,http://academic.naver.com/article.naver?doc_id=928015793
발표하기 전 준비 활동에 따른 발표 결과 비교 분석 : 초등학교 4학년을,http://academic.naver.com/article.naver?doc_id=74807346
대학생들의 조별발표수업 경험에 대한 교육적 의미 탐색,http://academic.naver.com/article.naver?doc_id=580509023
학문 목적 한국어 학습자의 발표 능력 향상을 위한 수업 연구,http://academic.naver.com/article.naver?doc_id=290229465
Poster 내용준비 및 발표를 위한 제반 유의사항,http://academic.naver.com/article.naver?doc_id=846548189
발표 불안이 높은 학습자를 위한 발표 교육 연구,http://academic.naver.com/article.naver?doc_id=247283039
Poster 내용준비 및 발표를 위한 제반 유의사항,http://academic.naver.com/article.naver?doc_id=36349542
포커스 : 부산신항 개장 D-3개월 브리핑 ; 신항 터미널운영사 선정안에 업,http://academic.naver.com/article.naver?doc_id=37015128
"[제3주제발표] 귀농·귀촌 준비 및 농어촌 정착 과정과 정책 수요 : ""시골",http://academic.naver.com/article.naver?doc_id=878634301
"[제3주제발표] 귀농·귀촌 준비 및 농어촌 정착 과정과 정책 수요 : ""시골",http://academic.naver.com/article.naver?doc_id=929393388
특집 <독일 신탁관리공사 모델을 통해 조망하는 한반도 통일 준비> 발표,http://academic.naver.com/article.naver?doc_id=157428265
특집 <독일 신탁관리공사 모델을 통해 조망하는 한반도 통일 준비> 발표,http://academic.naver.com/article.naver?doc_id=157428264
‘비판적 담화 분석’ 교수 모델에 근거한 발표 수행 결과,http://academic.naver.com/article.naver?doc_id=929346336
협동학습에 기반한 통합적 발표 토론 수업 연구,http://academic.naver.com/article.naver?doc_id=116470300
학문 목적 한국어 학습자의 실시간 온라인 발표 교육 연구,http://academic.naver.com/article.naver?doc_id=1016610894
요인분석을 통한 중국인 대학원생의 한국어 발표 불안 탐색,http://academic.naver.com/article.naver?doc_id=965140393
요인분석을 통한 중국인 대학원생의 한국어 발표 불안 탐색,http://academic.naver.com/article.naver?doc_id=1015345060
이공계열 대상 실시간 원격 발표 수업의 운영,http://academic.naver.com/article.naver?doc_id=822566931
요인분석을 통한 중국인 대학원생의 한국어 발표 불안 탐색,http://academic.naver.com/article.naver?doc_id=965204605
요인분석을 통한 중국인 대학원생의 한국어 발표 불안 탐색,http://academic.naver.com/article.naver?doc_id=966482730
<발표 1> 잠재프로파일 분석을 통한 저경력 교사의 교직 준비도 유형 분,http://academic.naver.com/article.naver?doc_id=1025735081
효과적 발표 교육을 위한 '333말하기' 프로그램의 설계 : 소통의 경험과,http://academic.naver.com/article.naver?doc_id=562426402
발표 활동에서 예비 과학교사들의 동료평가에 관한 결과와 인식 분석,http://academic.naver.com/article.naver?doc_id=32703765
[제2주제 발표1] 북핵문제와 남북관계 전망 : 미국의 차기 행정부와 북핵,http://academic.naver.com/article.naver?doc_id=668770927
기업의 채용 목적에 부합하는 맞춤형 취업지도 방안 연구 - 취업준비생,http://academic.naver.com/article.naver?doc_id=187878657
대학 교양 한국어 발표 수업에서 ‘동료 편집(Peer editing)’ 적용 논의,http://academic.naver.com/article.naver?doc_id=1019222951
대학 교양 한국어 발표 수업에서 ‘동료 편집(Peer editing)’ 적용 논의,http://academic.naver.com/article.naver?doc_id=1018982057
영화 영어에서 작업 기억을 돕는 장치에 관한 연구: 발표를 중심으로,http://academic.naver.com/article.naver?doc_id=922640898
"역전학습법이 일반물리학 수강생의 성취도, 수업준비시간 그리고 수업",http://academic.naver.com/article.naver?doc_id=175638977
학생 제작 발표 영상을 통한 구두 EFL 발표 수업에서의 경험적 학습 형성,http://academic.naver.com/article.naver?doc_id=871419320
자립준비청년의 자립 경험에 대한 국내 연구동향,http://academic.naver.com/article.naver?doc_id=1025732018
취업준비대학생의 자아존중감과 외모만족도가 취업스트레스와 진로성,http://academic.naver.com/article.naver?doc_id=774786885
